DOY_2014,MeanT,CountDegrees,UncountDegrees
1,2.32282,0,2.32282
2,0.815429,0,0.815429
3,-5.32466,0,-5.32466
4,-5.15714,0,-5.15714
5,1.50986,0,1.50986
6,-1.7778,0,-1.7778
7,-11.0164,0,-11.0164
8,-7.39315,0,-7.39315
9,-0.123643,0,-0.123643
10,0.894561,0,0.894561
11,7.46747,0,7.46747
12,5.82209,0,5.82209
13,6.07869,0,6.07869
14,6.91109,0,6.91109
15,5.68374,0,5.68374
16,1.09883,0,1.09883
17,2.96138,0,2.96138
18,-1.20642,0,-1.20642
19,1.82762,0,1.82762
20,6.76336,0,6.76336
21,-3.05951,0,-3.05951
22,-10.7299,0,-10.7299
23,-9.30352,0,-9.30352
24,-9.24692,0,-9.24692
25,-2.9402,0,-2.9402
26,-4.49661,0,-4.49661
27,1.81883,0,1.81883
28,-8.56954,0,-8.56954
29,-8.46714,0,-8.46714
30,-6.95753,0,-6.95753
31,1.48562,0,1.48562
32,2.84112,0,2.84112
33,7.67805,0,7.67805
34,4.12461,0,4.12461
35,0.466895,0,0.466895
36,2.6058,0,2.6058
37,0.252866,0,0.252866
38,0.242448,0,0.242448
39,-1.68074,0,-1.68074
40,-1.4223,0,-1.4223
41,-2.33399,0,-2.33399
42,-3.83742,0,-3.83742
43,-5.42261,0,-5.42261
44,-0.611143,0,-0.611143
45,4.67997,0,4.67997
46,0.908775,0,0.908775
47,-0.253037,0,-0.253037
48,-1.75267,0,-1.75267
49,5.53164,0,5.53164
50,8.17212,0,8.17212
51,5.6235,0,5.6235
52,9.5835,0,9.5835
53,7.80632,0,7.80632
54,10.7856,0.7856,10
55,2.71111,0,2.71111
56,-0.238777,0,-0.238777
57,-1.67906,0,-1.67906
58,-1.34248,0,-1.34248
59,-6.16642,0,-6.16642
60,-0.849456,0,-0.849456
61,6.1193,0,6.1193
62,-5.65067,0,-5.65067
63,-7.5359,0,-7.5359
64,-1.11777,0,-1.11777
65,-1.14197,0,-1.14197
66,2.70588,0,2.70588
67,7.61405,0,7.61405
68,6.52623,0,6.52623
69,8.38585,0,8.38585
70,12.7137,2.7137,10
71,9.49541,0,9.49541
72,-2.16993,0,-2.16993
73,4.87944,0,4.87944
74,12.3167,2.3167,10
75,3.15269,0,3.15269
76,-1.969,0,-1.969
77,2.02684,0,2.02684
78,3.88434,0,3.88434
79,8.97016,0,8.97016
80,8.36988,0,8.36988
81,12.5285,2.5285,10
82,4.56393,0,4.56393
83,0.108992,0,0.108992
84,-0.577826,0,-0.577826
85,-0.953652,0,-0.953652
86,2.20702,0,2.20702
87,13.1033,3.1033,10
88,13.3849,3.3849,10
89,7.0469,0,7.0469
90,11.9218,1.9218,10
91,10.8386,0.8386,10
92,12.0769,2.0769,10
93,14.6708,4.6708,10
94,13.0603,3.0603,10
95,10.1604,0.1604,10
96,7.84675,0,7.84675
97,7.99477,0,7.99477
98,12.1714,2.1714,10
99,11.6897,1.6897,10
100,12.0392,2.0392,10
101,20.5247,10.5247,10
102,17.1617,7.1617,10
103,19.9136,9.9136,10
104,21.7477,11.7477,10
105,11.664,1.664,10
106,4.93119,0,4.93119
107,6.35056,0,6.35056
108,7.19739,0,7.19739
109,12.9012,2.9012,10
110,11.313,1.313,10
111,11.4173,1.4173,10
112,15.5023,5.5023,10
113,12.0632,2.0632,10
114,11.5509,1.5509,10
115,13.2305,3.2305,10
116,16.6627,6.6627,10
117,14.2202,4.2202,10
118,11.9211,1.9211,10
119,9.27076,0,9.27076
120,14.0647,4.0647,10
121,19.7435,9.7435,10
122,15.7389,5.7389,10
123,17.0192,7.0192,10
124,17.87,7.87,10
125,12.9796,2.9796,10
126,16.3799,6.3799,10
127,14.2138,4.2138,10
128,22.4652,12.4652,10
129,20.9113,10.9113,10
130,21.2763,11.2763,10
131,20.9335,10.9335,10
132,22.3927,12.3927,10
133,24.89,14.89,10
134,17.4392,7.4392,10
135,22.6917,12.6917,10
136,17.334,7.334,10
137,14.4596,4.4596,10
138,13.7469,3.7469,10
139,14.2379,4.2379,10
140,17.0896,7.0896,10
141,20.3209,10.3209,10
142,24.146,14.146,10
143,19.966,9.966,10
144,18.8657,8.8657,10
145,19.8813,9.8813,10
146,22.3338,12.3338,10
147,24.8895,14.8895,10
148,22.9655,12.9655,10
149,14.85,4.85,10
150,18.5304,8.5304,10
151,19.8273,9.8273,10
152,18.1196,8.1196,10
153,19.6026,9.6026,10
154,23.4833,13.4833,10
155,24.6937,14.6937,10
156,21.3585,11.3585,10
157,19.7776,9.7776,10
158,20.8988,10.8988,10
159,22.2921,12.2921,10
160,24.3887,14.3887,10
161,26.2198,16.2198,10
162,25.5668,15.5668,10
163,23.6869,13.6869,10
164,23.818,13.818,10
165,20.1833,10.1833,10
166,20.2763,10.2763,10
167,24.5258,14.5258,10
168,27.0056,17.0056,10
169,28.3831,18.3831,10
170,26.0567,16.0567,10
171,24.4291,14.4291,10
172,21.4455,11.4455,10
173,22.4896,12.4896,10
174,22.533,12.533,10
175,24.0444,14.0444,10
176,26.6209,16.6209,10
177,26.2028,16.2028,10
178,25.0028,15.0028,10
179,23.7149,13.7149,10
180,23.2425,13.2425,10
181,25.8903,15.8903,10
182,27.9404,17.9404,10
183,29.17,19.17,10
184,26.995,16.995,10
185,22.0429,12.0429,10
186,21.2858,11.2858,10
187,22.7997,12.7997,10
188,27.0862,17.0862,10
189,27.7185,17.7185,10
190,25.7789,15.7789,10
191,24.5781,14.5781,10
192,24.4028,14.4028,10
193,25.7104,15.7104,10
194,28.0437,18.0437,10
195,28.1484,18.1484,10
196,25.9659,15.9659,10
197,22.514,12.514,10
198,21.9878,11.9878,10
199,22.6419,12.6419,10
200,23.7799,13.7799,10
201,24.1077,14.1077,10
202,25.0402,15.0402,10
203,25.7298,15.7298,10
204,27.9787,17.9787,10
205,21.9719,11.9719,10
206,21.9425,11.9425,10
207,25.152,15.152,10
208,25.1917,15.1917,10
209,24.2303,14.2303,10
210,19.6555,9.6555,10
211,19.1328,9.1328,10
212,22.9429,12.9429,10
213,21.8007,11.8007,10
214,22.5457,12.5457,10
215,24.0933,14.0933,10
216,24.4718,14.4718,10
217,25.094,15.094,10
218,24.0078,14.0078,10
219,23.325,13.325,10
220,22.0687,12.0687,10
221,23.5139,13.5139,10
222,23.9008,13.9008,10
223,22.613,12.613,10
224,23.0931,13.0931,10
225,22.6562,12.6562,10
226,21.2117,11.2117,10
227,20.1439,10.1439,10
228,21.5253,11.5253,10
229,24.4493,14.4493,10
230,23.7374,13.7374,10
231,25.0179,15.0179,10
232,24.8117,14.8117,10
233,24.7871,14.7871,10
234,24.5313,14.5313,10
235,21.5071,11.5071,10
236,21.5686,11.5686,10
237,21.646,11.646,10
238,22.6398,12.6398,10
239,23.7076,13.7076,10
240,22.8663,12.8663,10
241,20.5928,10.5928,10
242,23.7444,13.7444,10
243,27.937,17.937,10
244,27.6874,17.6874,10
245,27.9111,17.9111,10
246,25.6784,15.6784,10
247,25.6852,15.6852,10
248,27.1735,17.1735,10
249,27.9495,17.9495,10
250,22.7581,12.7581,10
251,20.7202,10.7202,10
252,22.0937,12.0937,10
253,23.4886,13.4886,10
254,26.0324,16.0324,10
255,21.166,11.166,10
256,17.6469,7.6469,10
257,15.8337,5.8337,10
258,17.1597,7.1597,10
259,19.1164,9.1164,10
260,17.8569,7.8569,10
261,19.634,9.634,10
262,18.7325,8.7325,10
263,21.0612,11.0612,10
264,21.4664,11.4664,10
265,18.2538,8.2538,10
266,15.4766,5.4766,10
267,16.1216,6.1216,10
268,17.4288,7.4288,10
269,18.8077,8.8077,10
270,19.5448,9.5448,10
271,19.2652,9.2652,10
272,18.5454,8.5454,10
273,20.6079,10.6079,10
274,19.521,9.521,10
275,19.4888,9.4888,10
276,19.0787,9.0787,10
277,13.1754,3.1754,10
278,10.3301,0.3301,10
279,14.9337,4.9337,10
280,18.9853,8.9853,10
281,18.1217,8.1217,10
282,15.8528,5.8528,10
283,15.0479,5.0479,10
284,13.019,3.019,10
285,13.1446,3.1446,10
286,16.7625,6.7625,10
287,21.6983,11.6983,10
288,19.2479,9.2479,10
289,16.2434,6.2434,10
290,17.1224,7.1224,10
291,16.2443,6.2443,10
292,10.554,0.554,10
293,11.7816,1.7816,10
294,14.9168,4.9168,10
295,12.2994,2.2994,10
296,14.9937,4.9937,10
297,13.7788,3.7788,10
298,13.6777,3.6777,10
299,13.6479,3.6479,10
300,12.4529,2.4529,10
301,19.084,9.084,10
302,13.7208,3.7208,10
303,10.2857,0.2857,10
304,8.48225,0,8.48225
305,8.74577,0,8.74577
306,8.05307,0,8.05307
307,10.0597,0.0597,10
308,12.5252,2.5252,10
309,14.2505,4.2505,10
310,14.8689,4.8689,10
311,7.68485,0,7.68485
312,5.28913,0,5.28913
313,8.86183,0,8.86183
314,9.48802,0,9.48802
315,11.8172,1.8172,10
316,12.1671,2.1671,10
317,5.47544,0,5.47544
318,1.83519,0,1.83519
319,2.1362,0,2.1362
320,3.70581,0,3.70581
321,6.48765,0,6.48765
322,-0.657944,0,-0.657944
323,-2.71721,0,-2.71721
324,6.33648,0,6.33648
325,-0.97332,0,-0.97332
326,1.40568,0,1.40568
327,7.83685,0,7.83685
328,17.6618,7.6618,10
329,12.5573,2.5573,10
330,4.96505,0,4.96505
331,4.33291,0,4.33291
332,0.707074,0,0.707074
333,3.3128,0,3.3128
334,10.6134,0.6134,10
335,14.2296,4.2296,10
336,4.39992,0,4.39992
337,7.19189,0,7.19189
338,3.447,0,3.447
339,4.8631,0,4.8631
340,7.66265,0,7.66265
341,4.8377,0,4.8377
342,1.18682,0,1.18682
343,3.69825,0,3.69825
344,5.86429,0,5.86429
345,3.59436,0,3.59436
346,2.92345,0,2.92345
347,2.58104,0,2.58104
348,6.0526,0,6.0526
349,7.589,0,7.589
350,3.94805,0,3.94805
351,7.56108,0,7.56108
352,3.14148,0,3.14148
353,0.9123,0,0.9123
354,-1.2053,0,-1.2053
355,1.68178,0,1.68178
356,0.243863,0,0.243863
357,4.84234,0,4.84234
358,10.7225,0.7225,10
359,8.91465,0,8.91465
360,4.4803,0,4.4803
361,6.72848,0,6.72848
362,9.29844,0,9.29844
363,5.81635,0,5.81635
364,0.548681,0,0.548681
365,-1.4323,0,-1.4323