POP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BER,253,249,245,258,246,248,246,256,250,257,249,245,250,256,247,249,247,258,254,261,255
BRU,303,291,286,303,291,296,301,288,295,296,291,295,290,297,296,294,290,309,303,291,292
FAY,280,275,266,284,270,276,272,272,272,280,271,267,268,278,269,273,269,289,277,278,274
FEM,323,315,312,322,309,313,314,314,325,324,314,317,305,323,316,323,317,331,325,321,319
JAC,314,294,292,310,295,302,303,296,303,299,297,301,295,304,297,307,300,322,308,304,304
MAN,263,254,251,261,252,255,252,259,252,264,252,251,256,256,251,253,252,263,262,264,258
NEW,249,248,244,252,246,247,248,254,247,253,246,241,246,252,245,246,247,257,252,260,248
NVA,271,268,259,274,263,267,268,268,268,277,265,261,265,268,261,263,261,272,269,268,264
OAK,322,311,306,323,303,309,310,308,314,319,310,314,301,320,310,321,312,329,321,315,314
PBS,327,322,320,327,318,319,319,319,330,329,318,325,314,327,324,329,325,334,332,325,323
WAV,270,268,259,278,263,266,265,269,267,273,265,262,265,271,264,270,262,278,270,270,269
ZIO,287,279,271,292,273,281,282,279,278,287,277,272,273,284,277,280,279,300,286,282,280