pop,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BER,32,30,41,31,42,38,32,39,26,33,38,27,39,30,33,44,31,19,36,38,35
BRU,2,4,13,7,3,12,7,3,3,4,6,3,19,1,3,1,5,0,0,3,1
NVA,15,24,40,28,24,31,27,34,22,16,28,21,35,29,26,32,31,17,24,35,31
NEW,17,23,35,17,30,27,22,36,19,25,39,25,35,25,33,37,25,13,23,32,27
MAN,17,23,42,26,31,30,25,36,18,21,30,24,35,25,21,35,23,12,21,29,27
JAC,0,1,7,1,0,1,4,0,0,1,0,0,9,0,1,0,1,0,0,0,0
FEM,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
FAY,7,16,27,12,16,16,24,20,12,12,25,18,31,13,14,22,20,5,15,23,15
OAK,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
PBS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WAV,13,22,35,24,23,27,24,30,14,21,25,22,33,21,20,25,27,9,24,23,21
ZIO,7,17,22,14,15,20,17,17,10,7,20,10,28,9,8,18,15,4,11,12,10