pop,prev_year_gdd400,latitude,country,only_2008,interval,Estimate,CPP_YEAR
BER,257,39.77,US,n,y1998-2007,13.38152004,2008
BRU,296,31.13,US,n,y1998-2007,12.67789718,2008
NVA,277,36.35,US,n,y1998-2007,13.09959143,2008
NEW,253,40.73,US,n,y1998-2007,13.80304477,2008
MAN,264,38.63,US,n,y1998-2007,13.38625166,2008
JAC,299,30.33,US,n,y1998-2007,12.67563577,2008
FEM,324,27.58,US,n,y1998-2007,12.57169067,2008
FAY,280,35.03,US,n,y1998-2007,13.08944691,2008
OAK,319,28.85,US,n,y1998-2007,12.3128258,2008
WAV,273,37.05,US,n,y1998-2007,13.43488044,2008
ZIO,287,33.75,US,n,y1998-2007,13.04840233,2008
OKI,323,26.2,JP,n,y1998-2007,12.91282698,2008
KAG,281,31.6,JP,n,y1998-2007,13.29174053,2008
TAN,303,30.72,JP,y,y1998-2007,12.64779314,2008
SHI,268,34.02,JP,y,y1998-2007,13.12242196,2008
HIR,274,34.38,JP,y,y1998-2007,13.10888742,2008
TOK,269,35.63,JP,y,y1998-2007,13.25994623,2008
UTS,247,36.53,JP,y,y1998-2007,13.58870576,2008
KHO,251,37.37,JP,y,y1998-2007,13.39053403,2008
AIZ,243,37.47,JP,y,y1998-2007,13.80555343,2008
SAK,253,38.92,JP,y,y1998-2007,13.66449331,2008
BER,261,39.77,US,n,y2008-2017,13.60015408,2018
BRU,291,31.13,US,n,y2008-2017,12.99108647,2018
NVA,268,36.35,US,n,y2008-2017,13.6026183,2018
NEW,260,40.73,US,n,y2008-2017,13.84455653,2018
MAN,264,38.63,US,n,y2008-2017,13.62734575,2018
JAC,304,30.33,US,n,y2008-2017,12.85324401,2018
FEM,321,27.58,US,n,y2008-2017,12.51789879,2018
FAY,278,35.03,US,n,y2008-2017,13.362601,2018
OAK,315,28.85,US,n,y2008-2017,12.51415477,2018
PBS,325,26.67,US,n,y2008-2017,12.3377837,2018
WAV,270,37.05,US,n,y2008-2017,13.68208165,2018
ZIO,282,33.75,US,n,y2008-2017,13.16796491,2018
OKI,320,26.2,JP,n,y2008-2017,12.72336881,2018
KAG,275,31.6,JP,n,y2008-2017,13.45884959,2018
YAT,265,32.65,JP,n,y2008-2017,13.20956782,2018
SAG,268,33.25,JP,n,y2008-2017,13.43287424,2018
YAM,259,34.18,JP,n,y2008-2017,13.52753987,2018
KYO,260,35,JP,n,y2008-2017,13.51356333,2018
TAK,258,35.35,JP,n,y2008-2017,13.66234544,2018
KAN,248,36.56,JP,n,y2008-2017,13.76431735,2018
NIG,251,37.91,JP,n,y2008-2017,13.84966178,2018
SEN,247,38.29,JP,n,y2008-2017,14.01458644,2018